CVE_ID,state,assigner,date_published,date_updated,cvss_score,cvss_version,cwes,exploitDB_type,exploitDB_platform,KEV_product,KEV_knownRansomwareCampaignUse,Vendor,id,date_mastodon
CVE-2018-11235,PUBLISHED,mitre,2018-05-30T04:00:00,2024-08-05T08:01:52.808Z,,,,,,,,,100226062478848057,2018-06-18T13:25:45.000Z
CVE-2018-11235,PUBLISHED,mitre,2018-05-30T04:00:00,2024-08-05T08:01:52.808Z,,,,,,,,,100226062478848057,2018-06-18T13:25:45.000Z
CVE-2018-11235,PUBLISHED,mitre,2018-05-30T04:00:00,2024-08-05T08:01:52.808Z,,,,,,,,,100226057781035794,2018-06-18T13:24:33.000Z
CVE-2018-11776,PUBLISHED,apache,2018-08-22T13:00:00.000Z,2025-02-06T21:01:40.270Z,,,CWE-20,remote,linux,Struts,Unknown,Apache,100615182300904474,2018-08-26T06:44:02.000Z
CVE-2018-11776,PUBLISHED,apache,2018-08-22T13:00:00.000Z,2025-02-06T21:01:40.270Z,,,CWE-20,remote,linux,Struts,Unknown,Apache,100615182300904474,2018-08-26T06:44:02.000Z
CVE-2018-11776,PUBLISHED,apache,2018-08-22T13:00:00.000Z,2025-02-06T21:01:40.270Z,,,CWE-20,remote,linux,Struts,Unknown,Apache,100611651574687792,2018-08-25T15:44:49.000Z
CVE-2018-11976,PUBLISHED,qualcomm,2019-05-24T16:44:16,2024-08-05T08:24:03.567Z,,,,,,,,,101988630738606508,2019-04-25T20:10:01.000Z
CVE-2018-11976,PUBLISHED,qualcomm,2019-05-24T16:44:16,2024-08-05T08:24:03.567Z,,,,,,,,,101988100973984736,2019-04-25T17:55:18.000Z
CVE-2018-1285,PUBLISHED,apache,2020-05-11T16:41:28,2024-08-05T03:59:37.654Z,,,,,,,,,114380772291988154,2025-04-22T08:54:37.212Z
CVE-2018-1285,PUBLISHED,apache,2020-05-11T16:41:28,2024-08-05T03:59:37.654Z,,,,,,,,,114380772291988154,2025-04-22T08:54:37.212Z
CVE-2018-14667,PUBLISHED,redhat,2018-11-06T22:00:00.000Z,2025-02-07T13:30:45.265Z,9.8,3.0,CWE-94,,,JBoss RichFaces Framework,Unknown,Red Hat,111165548091518620,2023-10-02T13:00:49.348Z
CVE-2018-15688,PUBLISHED,canonical,2018-10-26T14:00:00.000Z,2025-06-09T15:55:41.023Z,8.8,3.0,,,,,,,101151874729176767,2018-11-29T01:31:53.000Z
CVE-2018-15688,PUBLISHED,canonical,2018-10-26T14:00:00.000Z,2025-06-09T15:55:41.023Z,8.8,3.0,,,,,,,101151874729176767,2018-11-29T01:31:53.000Z
