Disclosure Date,CVE_ID
2018-10-09,CVE-2018-8453
2018-10-09,cve-2018-8453
2019-12-10,CVE-2019-1458
2019-12-10,cve-2019-1458
2020-02-11,CVE-2020-0668
2020-02-11,cve-2020-0668
2020-03-10,CVE-2020-0787
2020-03-10,cve-2020-0688
2020-03-10,cve-2020-0787
2020-03-13,CVE-2020-0796
2019-11-04,CVE-2020-1048
2019-11-04,cve-2020-1048
2020-02-20,CVE-2020-1054
2020-02-20,cve-2020-1054
2019-11-04,CVE-2020-1313
2019-11-04,cve-2020-1313
2019-11-04,CVE-2020-1337
2019-11-04,cve-2020-1337
2020-03-10,CVE-2020-1170
2020-03-10,CVE-2020-17136
2021-05-04,CVE-2021-21551
2021-05-04,cve-2021-21551
2021-10-12,CVE-2021-40449
2021-02-09,CVE-2021-1732
2021-02-09,CVE-2022-21882
2021-02-09,cve-2016-7255
2021-02-09,cve-2021-1732
2022-02-08,CVE-2022-21999
2022-02-08,cve-2022-22718
2022-03-17,CVE-2021-34484
2022-03-17,CVE-2022-21919
2022-03-17,CVE-2022-26904
2022-11-09,CVE-2022-3699
2023-01-10,CVE-2023-21768
2023-04-11,CVE-2023-28252
2024-12-19,CVE-2024-30085
2024-12-19,cve-2024-30085
2024-06-11,CVE-2024-30088
2024-06-11,CVE-2024-35250
2020-02-25,CVE-2019-3999
2020-02-25,CVE-2020-5752
2018-05-08,CVE-2018-8897
2018-05-08,cve-2018-8897
2010-01-19,CVE-2010-0232
2013-12-01,cve-2013-1300
2013-10-08,cve-2013-3881
2013-12-10,CVE-2013-5045
2014-02-11,CVE-2014-0257
2014-10-14,CVE-2014-4113
2014-10-14,cve-2014-4113
2015-01-13,CVE-2015-0016
2015-01-13,cve-2015-0016
2015-05-12,CVE-2015-1701
2015-05-12,cve-2015-1701
2015-07-11,CVE-2015-2426
2015-07-11,cve-2015-2426
2015-12-04,CVE-2016-0040
2015-12-04,cve-2016-0040
2016-02-09,cve-2016-0051
2016-03-21,CVE-2016-0099
2016-01-16,cve-2014-4113
2016-01-16,cve-2014-4113
2018-05-09,CVE-2018-8120
2018-05-09,cve-2018-8120
2013-11-27,cve-2013-5065
2019-03-12,CVE-2019-0808
2019-03-12,cve-2019-0808
2012-12-25,CVE-2013-0109
2013-05-15,cve-2013-3660
2017-03-22,cve-2017-9769
2020-01-22,cve-2019-19363
2012-10-15,CVE-2025-21293
2023-07-11,CVE-2023-36874
2023-07-11,cve-2023-36874
2023-05-17,cve-2023-1133
2012-03-12,cve-2012-0124
2023-06-07,CVE-2023-28324
2022-10-19,cve-2022-38108
2010-04-13,cve-2010-0478
2020-02-05,CVE-2020-8010
2012-11-16,cve-2012-4959
2019-05-14,CVE-2019-0708
2019-05-14,cve-2019-0708
2021-07-07,cve-2020-7387
2024-05-06,CVE-2024-4548
2022-09-22,CVE-2023-28384
2024-11-21,CVE-2024-47407
2020-03-13,CVE-2020-0796
2020-03-13,cve-2020-0796
2015-03-10,CVE-2015-0096
2018-05-15,CVE-2018-1111
2021-05-24,CVE-2021-22204
2017-04-27,CVE-2017-8291
2018-08-07,CVE-2017-16894
2018-08-07,CVE-2018-15133
2022-02-23,CVE-2021-41282
2020-05-10,CVE-2020-11108
2020-05-10,cve-2020-11108
2020-03-28,cve-2020-8816
2023-11-28,cve-2023-46214
2014-10-09,CVE-2014-7236
2017-09-01,CVE-2017-17105
2016-03-10,CVE-2016-1531
2020-02-24,CVE-2020-8794
2006-06-06,cve-2006-2447
2010-12-07,CVE-2010-4345
2020-02-02,CVE-2020-9015
2020-02-02,cve-2020-9015
2020-02-17,CVE-2020-16152
2024-08-15,CVE-2024-45256
2024-08-15,CVE-2024-45257
2024-10-27,CVE-2024-51378
2024-10-27,CVE-2024-51567
2024-10-27,CVE-2024-51568
2024-10-27,cve-2024-51378
2024-10-27,cve-2024-51567
2024-10-27,cve-2024-51568
2018-03-28,CVE-2018-7600
2019-02-26,cve-2019-9194
2012-12-03,CVE-2012-6330
2013-06-27,cve-2014-1691
2018-10-09,CVE-2018-9206
2013-10-30,cve-2013-3632
2010-10-12,CVE-2010-3585
2017-09-29,cve-2017-6090
2009-03-24,cve-2009-1151
2019-10-28,cve-2019-16662
2019-10-28,cve-2019-16663
2012-12-15,CVE-2012-6329
2024-09-10,CVE-2024-8503
2014-09-25,cve-2014-6446
2017-05-03,CVE-2016-10033
2017-06-19,CVE-2017-3629
2017-06-19,CVE-2017-3630
2017-06-19,CVE-2017-3631
2017-06-19,cve-2017-3629
2020-10-20,cve-2020-18471
2016-04-27,CVE-2016-4117
2016-04-27,cve-2016-4117
2021-03-25,CVE-2021-30657
2021-03-25,CVE-2022-22616
2011-10-12,cve-2011-3230
2020-03-18,CVE-2020-9801
2020-03-18,CVE-2020-9850
2020-03-18,CVE-2020-9856
2018-03-15,CVE-2018-4233
2018-03-15,CVE-2018-4404
2018-03-15,cve-2018-4233
2020-11-11,CVE-2020-25736
2020-11-11,cve-2020-25736
2020-03-18,CVE-2020-9839
2019-04-13,CVE-2019-8565
2014-09-24,CVE-2014-4404
2018-03-15,CVE-2018-4237
2022-12-17,CVE-2022-46689
2015-04-09,CVE-2015-1130
2015-07-01,CVE-2015-3673
2013-02-28,CVE-2013-1775
2019-04-13,CVE-2019-8513
2019-04-13,cve-2019-8513
