CVE_ID,vendorProject,product,knownRansomwareCampaignUse,cwes
CVE-2024-5217,ServiceNow,"Utah, Vancouver, and Washington DC Now Platform",Unknown,CWE-184
CVE-2024-4879,ServiceNow,"Utah, Vancouver, and Washington DC Now Platform",Unknown,CWE-1287
CVE-2024-39891,Twilio,Authy,Unknown,CWE-203
CVE-2012-4792,Microsoft,Internet Explorer,Unknown,CWE-416
CVE-2022-22948,VMware,vCenter Server,Unknown,CWE-276
CVE-2024-28995,SolarWinds,Serv-U,Unknown,CWE-22
CVE-2024-34102,Adobe,Commerce and Magento Open Source,Unknown,CWE-611
CVE-2024-36401,OSGeo,GeoServer,Unknown,CWE-95
CVE-2024-23692,Rejetto,HTTP File Server,Unknown,CWE-1336
CVE-2024-38080,Microsoft,Windows ,Unknown,CWE-190
CVE-2024-38112,Microsoft,Windows,Unknown,CWE-451
CVE-2024-20399,Cisco,NX-OS,Unknown,CWE-78
CVE-2020-13965,Roundcube,Webmail,Unknown,CWE-80
CVE-2022-2586,Linux,Kernel,Unknown,CWE-416
CVE-2022-24816,OSGeo,JAI-EXT,Unknown,CWE-94
CVE-2024-4358,Progress,Telerik Report Server,Unknown,CWE-290
CVE-2024-26169,Microsoft,Windows,Known,CWE-269
CVE-2024-32896,Android,Pixel,Unknown,CWE-783
CVE-2024-4577,PHP Group,PHP,Known,CWE-78
CVE-2024-4610,Arm,Mali GPU Kernel Driver,Unknown,CWE-416
CVE-2017-3506,Oracle,WebLogic Server,Unknown,CWE-78
CVE-2024-1086,Linux,Kernel,Unknown,CWE-416
CVE-2024-24919,Check Point,Quantum Security Gateways,Known,CWE-200
CVE-2024-4978,Justice AV Solutions,Viewer ,Unknown,CWE-506
CVE-2024-5274,Google,Chromium V8,Unknown,CWE-843
CVE-2020-17519,Apache,Flink,Unknown,CWE-552
CVE-2024-4947,Google,Chromium V8,Unknown,CWE-843
CVE-2023-43208,NextGen Healthcare,Mirth Connect,Known,CWE-502
CVE-2024-4761,Google,Chromium V8,Unknown,CWE-787
CVE-2021-40655,D-Link,DIR-605 Router,Unknown,CWE-863
CVE-2014-100005,D-Link,DIR-600 Router,Unknown,CWE-352
CVE-2024-30040,Microsoft,Windows,Unknown,CWE-20
CVE-2024-30051,Microsoft,DWM Core Library,Known,CWE-122
CVE-2024-4671,Google,Chromium,Unknown,CWE-416
CVE-2023-7028,GitLab,GitLab CE/EE,Unknown,CWE-284
